Entry	Entry name	PubMed ID
P11274	BCR_HUMAN	3285291; 7665185; 3107980; 3540951; 2989703; 2263470; 2825022; 2915904; 2407300; 1900918; 1903516; 1712671; 1657398; 7479768; 9407116; 10508479; 15144186; 15302586; 15494376; 17081983; 17116687; 18088087; 18669648; 19690332; 21269460; 21406692; 22223895; 23186163; 24275569; 11780146; 20962234; 23940119; 25331951; 17344846
O14503	BHE40_HUMAN	9240428; 11226878; 15489334; 11278694; 12397359; 14672706; 15193144; 15560782; 18411297; 19786558; 21829689; 23186163; 25218447; 25114211; 25772364; 25755297; 28797635; 28112733; 30012868
Q9NYX4	CALY_HUMAN	10698743; 17170272; 15164054; 15489334; 12622665; 14534309; 16595675; 19838169; 23234360
Q9H9S4	CB39L_HUMAN	15755502; 15057823; 15489334; 14702039; 21269460
P08185	CBG_HUMAN	3299377; 3386241; 14702039; 15489334; 3347061; 14760718; 16335952; 19159218; 18513745; 1504007; 8212073; 10634411; 17245537
Q5W0U4	BSPRY_HUMAN	10978534; 15164053; 15489334; 14702039
Q14790	CASP8_HUMAN	8681376; 8681377; 8755496; 9228018; 9931493; 11161814; 12010809; 11917123; 15815621; 15489334; 8962078; 9006941; 9184224; 10860845; 9334338; 10442631; 11427719; 14759258; 15509781; 15069192; 15592455; 15592525; 16378960; 17245429; 18846110; 20937773; 21269460; 23516580; 28602583; 31827281; 31827280; 10508784; 10508785; 12353035; 15601643; 17293864; 17450141; 18563783
P55211	CASP9_HUMAN	8663294; 8900201; 10384055; 10070954; 9890966; 16780893; 14702039; 16710414; 15489334; 12792650; 15200957; 15657060; 16857965; 18669648; 19118655; 20068231; 23186163; 11734640; 12620238; 23516580
Q8N8R5	CB069_HUMAN	14702039; 15815621; 15489334; 21269460
Q8TD31	CCHCR_HUMAN	11875053; 14702039; 14574404; 15489334; 10545595; 10888604; 14675183; 14654843; 11348465
P34810	CD68_HUMAN	7680921; 14702039; 16625196; 15489334; 9790779; 15194571; 15647451; 16263699; 18405323; 19159218; 25944712
Q5SW79	CE170_HUMAN	9455484; 16710414; 15489334; 15616186; 17081983; 16964243; 17525332; 18669648; 19413330; 19369195; 19690332; 20068231; 21269460; 21406692; 23386061; 23186163; 28422092; 
Q9BWV3	CDAC1_HUMAN	16955368; 15057823; 15489334; 17974005; 26945630
D6RIA3	CD054_HUMAN	15815621; 28792652
P33681	CD80_HUMAN	2794510; 1377173; 17953528; 16641997; 15489334; 1714935; 7527824; 10583602; 16920215; 23186163; 10661405; 11279502
Q8NE62	CHDH_HUMAN	16641997; 15489334; 24275569
Q8NAS9	CE017_HUMAN	14702039; 
Q8N865	CG031_HUMAN	14702039; 12853948; 15489334; 17974005; 25074808; 28112733
Q00534	CDK6_HUMAN	1639063; 14702039; 12853948; 12690205; 15489334; 8114739; 9482106; 12833137; 14985467; 15254224; 16096642; 15809340; 15592455; 16548883; 17431401; 17420273; 19139263; 19369195; 19690332; 19608861; 20668294; 20333249; 16294322; 19238148; 21269460; 22814378; 23918663; 9751050; 11124804; 11828325; 15689157; 16789739; 21038853; 17344846
Q9Y5K6	CD2AP_HUMAN	10339567; 14574404; 15489334; 17974005; 11067845; 12764198; 15800069; 16678097; 16895919; 17853893; 18753381; 18220336; 18088087; 18669648; 19690332; 20068231; 21269460; 21406692; 22891260; 22814378; 23186163; 24275569; 25218447; 28112733; 17020880; 17188587; 
P51686	CCR9_HUMAN	10229797; 10640743; 15489334; 27926729
Q16878	CDO1_HUMAN	7524679; 10427686; 9497919; 14702039; 15489334; 21269460; 17135237; 16959974
P20273	CD22_HUMAN	1691828; 1985119; 8496602; 15057824; 15489334; 10079291; 8463235; 7618087; 8647200; 8627166; 9143697; 25218447
P28566	5HT1E_HUMAN	1608964; 1733778; 1513320; 14574404; 15489334; 15014171; 14744596; 18476671; 21422162; 20945968; 10391209; 
Q8NHS2	AATC2_HUMAN	16421571; 15489334
P08910	ABHD2_HUMAN	2843827; 15489334; 27247428; 26989199
Q96AP0	ACD_HUMAN	15181449; 15537664; 14702039; 15616553; 15489334; 15231715; 15316005; 15383534; 16166375; 16880378; 18220336; 18669648; 19413330; 19648609; 19690332; 20231318; 20068231; 23186163; 25205116; 25233904; 24275569; 28112733; 17237768
P28223	5HT2A_HUMAN	1722404; 1323014; 8035173; 14702039; 15057823; 15489334; 1330647; 11150294; 14988405; 18476671; 18703043; 18297054; 19057895; 21645528; 20945968; 22300836; 24637012; 24089568; 28129538; 8655141; 10581480; 10391209; 
P50406	5HT6R_HUMAN	8522988; 16710414; 15489334; 7656980; 23027611
Q8N6N7	ACBD7_HUMAN	14702039; 15164054; 15489334; 
Q04917	1433F_HUMAN	8218406; 1578511; 8561965; 8812417; 15461802; 10591208; 15489334; 8515476; 12665801; 23572552; 11266503; 12177059; 14504289; 15696159; 19172738; 19640509; 19690332; 21269460; 24275569; 26047703; 25944712; 17085597
A8MUL3	ADAS1_HUMAN	15164054
P55198	AF17_HUMAN	8058765; 16625196; 14702039; 15489334; 17974005; 19690332; 23186163; 26439302
O75078	ADA11_HUMAN	9693107; 8252040; 7956356; 14759258; 18772397
P62330	ARF6_HUMAN	1993656; 14659046; 9653160; 14702039; 15489334; 7589240; 11062263; 11950392; 12847086; 15509780; 14978216; 16148947; 15642342; 15793564; 16737952; 17030804; 17398095; 17628206; 17555535; 18400762; 20727515; 19948740; 20682791; 21269460; 21951725; 23603394; 24275569; 25255805; 25944712; 10881192; 11266366; 16099990; 16839550; 19644450; 20510928; 21170023; 22939626; 23940353
Q66PJ3	AR6P4_HUMAN	19582790; 16541075; 15489334; 11884129; 10708573; 17081983; 18669648; 18772245; 19413330; 19369195; 19690332; 20068231; 21269460; 21406692; 23186163; 24275569; 28112733
Q63HQ0	AP1AR_HUMAN	11230166; 14702039; 15815621; 15489334; 15144186; 15775984; 18669648; 19349973; 19706427; 19965873; 21525240; 22689987; 23186163
Q5H913	AR13A_HUMAN	14702039; 15772651; 15489334
Q8IUR7	ARMC8_HUMAN	14702039; 16641997; 15489334; 17974005; 17467196; 21269460; 23186163; 29911972
Q6Q788	APOA5_HUMAN	11577099; 15108119; 12975309; 15489334; 11588264; 12899628; 12709436; 12810715; 15528295; 17326667; 17997385; 18603531; 24275569; 26091039; 12417524; 12920097; 12915450; 16200213
Q9NZN5	ARHGC_HUMAN	10681437; 15489334; 9205841; 11094164; 11724822; 12372594; 12183458; 17525332; 18220336; 18088087; 18669648; 19413330; 19690332; 20844236; 20068231; 21269460; 23186163; 24275569; 15331592; 18411422
Q8IV38	ANKY2_HUMAN	17974005; 12690205; 15489334; 21269460
P02647	APOA1_HUMAN	6406984; 6304641; 6413973; 6207999; 6328445; 6198645; 2995392; 3129297; 2673706; 15108119; 14702039; 15489334; 6409108; 164450; 204308; 3047170; 1909888; 2506184; 3120314; 7895732; 12665801; 1742316; 6294659; 3005308; 6405383; 1898657; 8261628; 11991719; 12847263; 12576517; 12562854; 15922294; 21269460; 23719382; 24275569; 24755625; 8664326; 9356442; 8240372; 8282791; 6401735; 6412234; 6489332; 6432779; 3142462; 2123470; 2107878; 1502149; 2108924; 2512329; 2111322; 1901417; 7981179; 7918609; 8208902; 10487826; 9514407; 10198255; 12050338; 12966036; 22028381; 26073399
P55056	APOC4_HUMAN	8530039; 14702039; 15489334; 16335952; 10996355; 16959974
Q9UH62	ARMX3_HUMAN	11162520; 11042152; 12975309; 17974005; 15772651; 15489334; 17081983; 18318008; 19690332; 21269460; 21406692; 23186163
O60423	AT8B3_HUMAN	12880872; 15057824; 15489334; 14702039; 20947505
Q9Y575	ASB3_HUMAN	11111040; 14702039; 15815621; 15489334; 15899873
Q13510	ASAH1_HUMAN	8955159; 10993717; 10610716; 16421571; 15489334; 7744740; 11451951; 12764132; 12815059; 12754519; 15655246; 16335952; 16263699; 17713573; 19159218; 21269460; 22927646; 22261821; 24275569; 25944712; 30525581; 29692406; 11241842; 12638942; 16951918; 20609603; 22703880; 21893389; 21982811; 24164096; 27411168; 26945816; 27026573
Q9UNA0	ATS5_HUMAN	10438522; 10830953; 15489334; 10464288; 16133547; 18992360; 19671700; 18042673
O95450	ATS2_HUMAN	10417273; 15372022; 31152061
P36894	BMR1A_HUMAN	8397373; 14702039; 15489334; 22799562; 24098149; 10881198; 11381269; 18937504; 11536076; 12417513; 12136244; 12630959; 16685657; 16525031; 17344846; 25860647
O43709	BUD23_HUMAN	11978965; 11124703; 12073013; 14702039; 15498874; 12853948; 15489334; 21269460; 23186163; 24086612; 24488492; 25851604
Q13867	BLMH_HUMAN	8620487; 8639621; 14702039; 15489334; 19608861; 21269460; 10404591
Q5T5X7	BEND3_HUMAN	14574404; 15489334; 10997877; 17081983; 18669648; 20068231; 21914818; 21406692; 25400923; 25218447; 25114211; 25600804; 25772364; 25755297; 26100909; 28112733; 28977671
Q6AI39	BICRL_HUMAN	9039502; 17974005; 14574404; 15489334; 21406692; 23186163; 29374058
Q6PI77	BHLH9_HUMAN	15034937; 11214970; 15772651; 15489334; 18089774
P15291	B4GT1_HUMAN	3144273; 2124683; 1903938; 1384956; 7579794; 7540104; 14702039; 15164053; 3094506; 3091013; 2120039; 1714903; 7744867; 10580128; 11901181; 20378551; 20068231; 24275569; 16157350; 16497331; 19106107
Q15059	BRD3_HUMAN	7584044; 16008511; 15164053; 15489334; 9373153; 18406326; 17934517; 18669648; 19413330; 19690332; 20068231; 21406692; 23186163; 24275569; 28112733; 22464331; 27105114; 17344846
Q9BQI4	CCDC3_HUMAN	11230166; 14702039; 15164054; 15489334; 20043878; 25193116
Q16548	B2LA1_HUMAN	7478596; 8605321; 9050999; 16572171; 15489334; 10772918; 23055042; 18812174; 
Q5XLA6	CAR17_HUMAN	15383541
Q53HC0	CCD92_HUMAN	14702039; 16541075; 15489334; 22863007; 24275569
Q13634	CAD18_HUMAN	9030594; 14702039; 15372022; 15489334
P38398	BRCA1_HUMAN	7545954; 8938427; 9010228; 16625196; 15489334; 10851077; 8972225; 9662397; 9528852; 9811458; 10500182; 10783165; 11114888; 10724175; 11301010; 11739404; 11239454; 12183412; 12419185; 11877377; 11751867; 11836499; 12360400; 12890688; 12887909; 14636569; 14976165; 14990569; 15456891; 15096610; 17081983; 16818604; 16326698; 16698035; 18056443; 17643122; 17643121; 17525332; 17525340; 18762988; 18669648; 19261748; 19261749; 19261746; 19369211; 19690332; 20160719; 20351172; 20364141; 20068231; 21144835; 21673012; 21406692; 22814378; 23186163; 25218447; 25755297; 26807646; 28112733; 28319063; 11573085; 11573086; 12427738; 15609993; 15133502; 16101277; 18452305; 18285836; 20159462; 21473589; 24316840; 26778126; 8807330; 7939630; 7894491; 7894493; 8554067; 8968716; 8776600; 8723683; 9760198; 9482581; 9609997; 10486320; 10323242; 10196379; 12215251; 12442274; 12442275; 12938098; 15026808; 14746861; 14722926; 15365993; 16959974; 17924331; 20513136; 23269703; 23867111; 25472942; 28364669; 29133208
Q8IWF9	CCD83_HUMAN	14702039; 15489334
O00175	CCL24_HUMAN	9104803; 9365122; 14702039; 12853948; 15489334; 15340161; 10913244
P41182	BCL6_HUMAN	8220427; 8235596; 8274740; 8506375; 16641997; 15489334; 9649500; 10469447; 10753856; 10981963; 12414651; 12402037; 11821949; 12504096; 12590135; 15454082; 15577913; 16142238; 16455075; 17828269; 18212045; 23166356; 22113614; 23911289; 23186163; 30190310; 14690607; 19052359; 18280243; 20385364
P51671	CCL11_HUMAN	8597956; 8609214; 8631813; 8780731; 9169149; 9299399; 15489334; 9578468; 9712872
Q8TAB5	CA216_HUMAN	14702039; 15489334; 23186163
Q9NP86	CABP5_HUMAN	10625670; 15489334; 11108966; 19338761
P63098	CANB1_HUMAN	2558868; 14702039; 15815621; 15489334; 12809556; 25255805; 8524402; 12218175; 12357034; 17498738; 22343722; 23468591; 26794871; 27974827
Q01668	CAC1D_HUMAN	1309651; 1309948; 7557998; 18482979; 16641997; 9894156; 1335101; 21280120; 21131953; 22495309; 22542183; 23913001; 25620733; 28472301
O75952	CABYR_HUMAN	11820818; 14702039; 16177791; 15489334; 15752768; 16139264
A2IDD5	CCD78_HUMAN	14702039; 11157797; 15616553; 15489334; 22818856; 24075808
O95180	CAC1H_HUMAN	9670923; 9930755; 11751928; 11157797; 15616553; 19940152; 27149520; 12891677; 15048902; 24277868; 25907736; 26637798; 27729216; 27864847; 30197081
Q9NWW7	CB042_HUMAN	11230166; 14702039; 15815621; 15489334
P33076	C2TA_HUMAN	8402893; 7749984; 12919287; 12859996; 15616553; 10464099; 11172716; 17493635; 16600381; 23007646; 24036077; 10501838; 11466404; 11862382
Q9NX04	CA109_HUMAN	14702039; 15489334; 22548824
Q8IYX3	CC116_HUMAN	14702039; 10591208; 15489334; 25074808
Q711Q0	CEFIP_HUMAN	14702039; 17974005; 15164054; 15489334; 23186163; 28717008
Q14839	CHD4_HUMAN	7575689; 16541075; 15489334; 9804427; 10545197; 10204490; 14530259; 15454082; 17081983; 17626165; 17525332; 18669648; 19413330; 19644445; 19690332; 19608861; 20068231; 21269460; 21555454; 21406692; 23186163; 23149945; 24275569; 25218447; 25114211; 25772364; 25755297; 27616479; 27479907; 28112733; 12842043; 
Q9Y2V2	CHSP1_HUMAN	9712905; 14702039; 15489334; 14654843; 15910284; 18220336; 18088087; 18669648; 19413330; 20068231; 21269460; 21078874; 21406692; 23186163; 24275569; 21177848
Q9BUX1	CHAC1_HUMAN	16572171; 15489334; 19109178; 22445366; 27913623
Q6PRD7	CEMP1_HUMAN	16263347; 15489334; 17509525; 19393626; 21929512; 21465469; 24117017; 26011628
Q15078	CD5R1_HUMAN	8090221; 15489334; 10604467; 12393264; 15128856; 17121855; 17671990; 18507738; 20213681; 24235147; 16039528; 15689152
Q8NET6	CHSTD_HUMAN	12080076; 15489334; 24275569
Q9NRB3	CHSTC_HUMAN	10781601; 12975309; 14702039; 12690205; 15489334; 12847091
O43734	CIKS_HUMAN	10903453; 10962024; 10962033; 14702039; 17974005; 14574404; 15489334; 12459498; 20953186; 20953188; 24120361
Q96FZ7	CHMP6_HUMAN	14583093; 14702039; 15489334; 14505570; 14519844; 15511219; 17547705; 21269460; 21543490; 23186163; 24275569; 25255805; 25944712; 18606141
P31358	CD52_HUMAN	1711975; 8418821; 16710414; 15489334; 7688956
Q99618	CDCA3_HUMAN	12188893; 9074930; 14702039; 15489334; 17081983; 18220336; 18691976; 18669648; 19413330; 19690332; 20068231; 23186163
Q2WEN9	CEA16_HUMAN	15057824; 15489334; 21368133; 25589040; 29703829
P30203	CD6_HUMAN	9013954; 16554811; 1919444; 17371992; 2016320; 7678115; 15048703; 15294938; 16352806; 16914752; 17601777; 24945728; 24584089; 26146185
P61604	CH10_HUMAN	7914093; 7916212; 12483302; 14702039; 15815621; 15489334; 10763410; 7912672; 1346131; 11422376; 19608861; 20068231; 21269460; 21908771; 24275569; 25944712; 25918392
Q6W349	CD011_HUMAN	15218245
Q9H7C9	AAMDC_HUMAN	14702039; 16554811; 15489334; 21269460; 17850744
P11230	ACHB_HUMAN	2740233; 14702039; 16625196; 15489334; 15609996; 8651643; 8872460; 10562302; 27375219
Q709F0	ACD11_HUMAN	17974005; 14702039; 16641997; 15489334; 21269460; 21237683; 24275569; 
Q9BUJ0	ABHEA_HUMAN	12975309; 17974005; 15489334
O95433	AHSA1_HUMAN	10931946; 14702039; 12508121; 15489334; 11042152; 11554768; 12504007; 12604615; 16696853; 19240134; 19608861; 20068231; 21269460; 21406692; 23186163; 24275569; 25114211; 27353360; 29127155; 28112733; 
Q9NPB9	ACKR4_HUMAN	10767544; 10734104; 10706668; 14702039; 15489334; 11981810; 20373092; 22698181; 23356288; 23121557; 23341447
Q9UEY8	ADDG_HUMAN	8893809; 10581174; 17974005; 15164054; 15489334; 15561718; 17081983; 18088087; 18669648; 19413330; 19690332; 20068231; 21269460; 21406692; 23836506; 23186163; 24275569; 28112733
Q8TF27	AGA11_HUMAN	11853319; 15489334
P19021	AMD_HUMAN	2357221; 7999037; 12699694; 14702039; 15372022; 15489334; 9110174; 8144680; 10574929; 17081983; 18669648; 21406692; 23186163
Q12904	AIMP1_HUMAN	7929199; 14702039; 15489334; 24312579; 10358004; 10850427; 11306575; 12237313; 11818442; 14500886; 16472771; 17443684; 19362550; 19131329; 19289464; 21092922; 20068231; 21269460; 22223895; 22814378; 23186163; 24275569; 25114211; 25944712; 10852899; 11157763; 25288775
Q96IF1	AJUBA_HUMAN	13678582; 14702039; 12508121; 15489334; 12417594; 15870274; 17081983; 16413547; 17909014; 18331720; 18805794; 18691976; 18669648; 20303269; 20616046; 20068231; 21406692; 22286099; 23186163; 24275569
Q6NSI1	AR26L_HUMAN	15616553; 15489334
Q96LA8	ANM6_HUMAN	11724789; 14702039; 16710414; 15489334; 17974005; 15334060; 15596808; 16157300; 16159886; 16600869; 17176473; 17415034; 17267505; 17898714; 18079182; 18077460; 18263580; 18691976; 19405910; 19509293; 20047962; 21269460; 23186163; 23866860; 26178996; 30420520; 
Q9NQ90	ANO2_HUMAN	19474308; 16541075; 14702039; 20056604; 21642943; 21607626; 22302790; 21984732; 21890523
Q9C0C7	AMRA1_HUMAN	17589504; 11214970; 14702039; 17974005; 16554811; 15489334; 18691976; 18669648; 19690332; 20068231; 22814378; 23954414; 23186163; 24275569
P28039	AOAH_HUMAN	1883828; 14702039; 12853948; 12690205; 15489334; 8089145; 29343645
P51693	APLP1_HUMAN	9428684; 9521588; 15057824; 15489334; 7494461; 7929392; 9890987; 12135352; 19838169; 23234360; 21574595
P50993	AT1A2_HUMAN	2477373; 9872452; 16710414; 15489334; 3035563; 3036582; 2537767; 7711835; 18669648; 12953268; 12539047; 15174025; 21352219; 23838748; 23918834; 27864847
Q8N9N2	ASCC1_HUMAN	12077347; 10810093; 14702039; 15164054; 15489334; 19074642; 21269460; 21791690; 22055184; 26924529; 29144457; 29997253; 31799605
Q7Z4Y8	AT5L2_HUMAN	15489334
P50995	ANX11_HUMAN	7508441; 11013079; 14702039; 15164054; 15489334; 11883939; 12601007; 12805373; 15197175; 17081065; 18256029; 19608861; 21269460; 24275569; 25944712; 28469040
Q96BY7	ATG2B_HUMAN	12508121; 14702039; 15489334; 18669648; 22219374; 23186163; 24275569
Q5FYB0	ARSJ_HUMAN	16174644; 16500042; 12975309; 15815621; 15489334
Q96B67	ARRD3_HUMAN	10718198; 14702039; 15489334; 16269462; 20559325; 21982743; 21191027; 23208550; 23886940; 24379409; 25220262
P78348	ASIC1_HUMAN	9037075; 21036899; 16541075; 15489334; 10798398; 11802773; 12244121; 12578970; 15247234; 19654327; 23034652; 22760635; 28327374
Q96QS3	ARX_HUMAN	12359145; 12376946; 11971879; 11889467; 12379852; 14722918; 27864847
P15289	ARSA_HUMAN	2562955; 1975241; 19262745; 15461802; 14702039; 10591208; 15489334; 1352993; 7628016; 9342345; 15146462; 19159218; 24294900; 9521684; 11124905; 12888274; 16368756; 7866401; 2574462; 1673291; 1678251; 1670590; 1353340; 8101038; 8101083; 8095918; 7902317; 7906588; 8104633; 7909527; 7825603; 7860068; 7581401; 8891236; 8723680; 9272717; 9090526; 9490297; 9600244; 9744473; 9452102; 9819708; 9888390; 10220151; 10477432; 10533072; 10381328; 10751093; 11061266; 11020646; 11456299; 11941485; 12503099; 12788103; 14517960; 14680985; 15326627; 15026521; 15710861; 18693274; 19606494; 20339381; 21265945
Q5XKL5	BTBD8_HUMAN	16710414; 15489334; 14654994
Q99728	BARD1_HUMAN	8944023; 9425226; 18089818; 15815621; 15489334; 10026184; 10477523; 12890688; 14976165; 17643122; 18669648; 19413330; 19261749; 19690332; 20351172; 23186163; 25755297; 28112733; 11573085; 17550235; 18842000; 18480049
P59827	BPIB4_HUMAN	12837268; 11780052; 11971875; 14739326
Q9NXR7	BABA2_HUMAN	7826398; 11676476; 14636569; 14702039; 15815621; 15489334; 15465831; 17525341; 19413330; 19214193; 19261746; 19261749; 19261748; 20068231; 21269460; 21282113; 22223895; 22814378; 24075985; 23186163; 25283148; 26195665
Q8ND07	BBOF1_HUMAN	12508121; 15489334; 17974005; 14702039
Q14457	BECN1_HUMAN	9765397; 10395800; 14702039; 15489334; 7490091; 16179260; 17446862; 18005679; 18843052; 18691976; 17724469; 19050071; 19180116; 19759141; 19369195; 20643123; 19270696; 19713971; 21364619; 20819940; 20208530; 21444671; 21962518; 21936852; 22493499; 22205736; 22814378; 23184933; 23186163; 23878393; 24349490; 25127057; 25275521; 25490155; 26263979; 26347139; 27693506; 26783301; 28479384; 28445460; 29604308; 31806350; 17337444; 17659302; 18797192; 24443581
Q6W2J9	BCOR_HUMAN	10898795; 15004558; 10997877; 15489334; 14702039; 17081983; 16943429; 18669648; 19413330; 19578371; 19690332; 19608861; 20068231; 21269460; 21406692; 23911289; 23186163; 26687479; 28112733; 23523425; 18280243
O00481	BT3A1_HUMAN	9382921; 9149941; 14702039; 14574404; 15489334; 20610803; 21113407; 21918970; 22767497; 22846996
Q76M96	CCD80_HUMAN	15325258; 15563452; 15998583; 17974005; 15489334; 14702039; 25218447
P59051	BRAS2_HUMAN	12036297; 10830953; 15489334
Q9Y2A9	B3GN3_HUMAN	10072769; 11439191; 11042166; 12975309; 14702039; 15057824; 15489334; 10580128; 25787250
Q96K17	BT3L4_HUMAN	14702039; 16710414; 15489334; 18669648; 21269460; 24275569
Q075Z2	BSPH1_HUMAN	17085770; 15057824
Q8NCB2	CAMKV_HUMAN	14702039; 11230166; 17974005; 16641997; 15489334; 17344846
Q9UPA5	BSN_HUMAN	9806829; 16641997; 10329005; 9455477; 12812759; 19380881; 23186163
Q96LZ3	CANB2_HUMAN	15865209; 14702039; 15164053; 15489334
Q8NHY0	B4GN2_HUMAN	12678917; 14688233; 14702039; 16625196; 15489334; 18669648; 16959974
Q8TAB7	CCD26_HUMAN	16421571; 15489334; 16449964
Q8NHW4	CC4L_HUMAN	15843566; 15489334; 11685466; 15240137; 15028295; 14673550; 17330138
Q16627	CCL14_HUMAN	8551235; 9600961; 10213461; 15489334; 10978165; 11085751; 17691823
A0A1B0GVQ3	CC200_HUMAN	16625196
Q16602	CALRL_HUMAN	8626685; 7818539; 14702039; 15815621; 15340161; 20826335; 22102369
Q9BX69	CARD6_HUMAN	15489334; 22814378; 23186163
Q8TCZ2	C99L2_HUMAN	12706889; 11230166; 12975309; 14702039; 15772651; 15489334; 20068231; 25944712
Q9BWL3	CA043_HUMAN	11230159; 11042152; 14702039; 16710414; 15489334; 17974005; 31540829
Q9BWC9	CC106_HUMAN	20159018; 9110174; 14702039; 15489334; 23186163
Q8ND61	CC020_HUMAN	11230166; 15489334
Q8WYQ3	CHC10_HUMAN	14702039; 15489334; 24934289; 25428574; 25193783; 25155093
Q12873	CHD3_HUMAN	9688266; 16625196; 9326634; 7560064; 9804427; 11230151; 12505151; 17081983; 17626165; 18691976; 18669648; 19413330; 19690332; 20068231; 21269460; 23186163; 24275569; 25218447; 25114211; 28112733; 29463886; 30397230
O95992	CH25H_HUMAN	9852097; 14702039; 15164054; 15489334; 15465627; 16157450
A0PJX0	CIB4_HUMAN	15489334; 22779914
Q5T1J5	CHCH9_HUMAN	15164053
O76071	CIAO1_HUMAN	9556563; 17041588; 10493829; 15489334; 10438340; 17937914; 20797633; 21269460; 22683786; 22814378; 22678362; 22678361; 23891004; 29320706; 23585563; 24275569; 29309586; 21468892
Q07108	CD69_HUMAN	8496594; 8340758; 8100776; 8026529; 15489334; 23186163; 11101293; 11036086; 18959746
Q5W0N0	CI057_HUMAN	15164053; 15489334
Q7L2Z9	CENPQ_HUMAN	14702039; 14574404; 15489334; 16622420; 16622419; 20068231; 21406692; 23186163; 25395579
P27701	CD82_HUMAN	1842498; 1401919; 7754374; 9126478; 16554811; 15489334; 12750295; 19159218; 19349973; 30463011
Q15517	CDSN_HUMAN	8415725; 9712893; 12366786; 14574404; 15489334; 11169256; 10599883; 9395522; 12754508; 20691404; 10844560; 12472658
Q14094	CCNI_HUMAN	7493655; 14702039; 15815621; 15489334; 9705831; 28860486
P11802	CDK4_HUMAN	9192850; 7652577; 8528263; 14702039; 16541075; 15489334; 2948189; 8221695; 9003781; 9106657; 10580009; 15107404; 15241418; 15558030; 16782892; 18827403; 19413330; 19124461; 19075005; 19487459; 19369195; 20399237; 21269460; 27353360; 29127155; 19237565; 19237555; 9311594; 9425228; 17344846
Q6ZTY9	CG065_HUMAN	14702039; 12690205
Q9P2B7	CFA97_HUMAN	14702039; 15815621; 15489334; 10718198; 17974005; 18669648; 20068231; 21269460; 21406692; 23186163
P28907	CD38_HUMAN	2319135; 9074508; 15489334; 1471258; 8253715; 7961800; 14759258; 16690024; 19159218; 19349973; 21269460; 25944712; 16154090; 9754820
P0C7V0	CF217_HUMAN	14574404; 15169551
Q9HBB8	CDHR5_HUMAN	11031102; 12975309; 14702039; 16554811; 12167596; 16335952; 24725409; 24275569; 26812018
Q8N1B3	CCNQ_HUMAN	15489334; 18297069; 19413330; 22814378; 24218572
P13671	CO6_HUMAN	2808363; 2789218; 8512929; 15372022; 15489334; 2468158; 9366265; 10551839; 16335952; 24275569; 22267737; 8101442; 15565285
Q96M20	CNBD2_HUMAN	14702039; 11780052; 15489334
Q9NWQ9	CN119_HUMAN	14702039; 15489334; 21269460; 22361696
A5YKK6	CNOT1_HUMAN	17974005; 15616553; 15489334; 10231032; 12168954; 10931946; 10637334; 16778766; 18377426; 19558367; 21269460; 21981923; 21984185; 21278420; 21976065; 22367759; 23186163; 27558897; 22977175; 23644599; 31006513; 31006510
Q53SF7	COBL1_HUMAN	10231032; 15815621; 15489334; 17974005; 16964243; 18669648; 20068231; 21269460; 23186163; 24275569; 
Q3B7I2	CNPY1_HUMAN	12853948; 12690205; 15489334
A4QN01	CJ040_HUMAN	15164054; 15489334
O14734	ACOT8_HUMAN	9299485; 9153233; 10092594; 11780052; 15489334; 10944470; 15194431; 11755680; 21269460; 25944712
Q13685	AAMP_HUMAN	7743515; 15489334; 10329261; 18634987; 21269460; 24275569
P55008	AIF1_HUMAN	8081366; 7590964; 8912632; 8629302; 9367684; 10202016; 14702039; 14656967; 14574404; 15489334; 15117732; 16049345; 18699778; 19608861; 23186163; 24275569; 17011575; 
P20848	A1ATR_HUMAN	2842251; 9383284; 17135331; 23826168
Q9H8T0	AKTIP_HUMAN	14702039; 15489334; 14749367; 18799622; 23186163
O14678	ABCD4_HUMAN	9266848; 9599016; 9302272; 14702039; 25535791; 27456980; 15489334; 22922874; 12111378
Q86WK6	AMGO1_HUMAN	12629050; 14702039; 16710414; 15489334; 10574461; 18669648
P78314	3BP2_HUMAN	9299232; 9734812; 14702039; 15815621; 15489334; 14759258; 18669648; 23186163; 24275569; 11381256; 12900899; 14577811
P54619	AAKG1_HUMAN	8621499; 14702039; 16541075; 15489334; 14722619; 17028174; 17255938; 18403135; 18691976; 21460634; 21269460; 21680840; 17307971; 17712357; 24275569; 17452784; 24352254; 25412657; 26952388
Q96HD9	ACY3_HUMAN	15489334; 19486448; 24275569
O95081	AGFG2_HUMAN	9303539; 15489334; 9799793; 19608861; 21269460
C9J202	AG1L2_HUMAN	16641997
Q9Y4X0	AMMR1_HUMAN	10049589; 14702039; 15772651; 15489334; 23186163; 28089922; 27811305
Q9NR81	ARHG3_HUMAN	10873612; 11230166; 14702039; 15489334; 12221096; 23186163
P51825	AFF1_HUMAN	8506309; 8443374; 14702039; 15815621; 1423625; 18691976; 18669648; 19369195; 19690332; 19608861; 20068231; 22195968; 21406692; 22895430; 23186163; 23260655; 16959974
A6NC57	ANR62_HUMAN	17974005; 16177791
