UniprotID_1,UniprotID_2,confidence
O75146,O00291,0.951
Q9BYN8,P67775,0.431
O43516,Q9UNF0,0.494
P18615,P19387,0.55
Q99638,P00519,0.824
Q15811,Q9NRI5,0.772
Q13347,Q92956,0.28
P56556,P56134,0.431
P56134,P56556,0.431
P54253,P13637,0.36
Q9NQ76,P16333,0.28
P63208,Q7Z6M2,0.861
Q9HCK5,P23458,0.36
P13236,P32246,1.0
Q8IUR6,O95400,0.36
Q8WX92,P38646,0.494
P61077,Q6PCD5,0.676
P42684,P00519,0.928
P00519,P42684,0.928
Q9H773,Q96HA8,0.431
O95140,Q5HYW3,0.28
Q9Y6W6,Q16539,1.0
Q16610,Q12805,0.644
Q96H86,O15162,0.431
P15880,Q13368,0.431
P20618,Q6XUX3,0.36
P06241,Q9UL51,0.55
P62136,Q15428,0.28
Q15428,P62136,0.28
Q96KM6,P21980,0.36
P21980,Q96KM6,0.36
Q5M7Z0,P62837,0.28
Q9P287,P21246,0.431
P01375,P36941,0.28
Q15038,Q9NRR5,0.431
Q9NRR5,Q15038,0.431
P25685,Q9UNE7,0.9
Q70EL4,Q9HA64,0.36
Q8IXK0,Q96EZ8,0.55
Q96EZ8,Q8IXK0,0.55
P51825,O60563,0.999
P05423,Q9H1D9,1.0
O15151,O15151,
Q9Y3P9,Q5R372,0.55
Q9UKB1,Q00987,0.719
Q96T23,O60264,0.987
Q9H9T3,O95163,1.0
P36873,Q13315,0.36
Q9H0F6,Q9H0F6,
Q9GZN1,Q16658,0.28
P21796,P10415,0.28
P10721,Q00610,0.431
Q00610,P10721,0.431
Q9Y383,Q9Y3C0,0.431
Q6P2Q9,Q15428,0.851
Q15714,O75964,0.28
Q9Y2X7,Q96C92,0.431
Q9NQC1,Q8WYH8,0.36
P30556,P49407,0.767
P49407,P30556,0.767
Q92889,P07992,1.0
Q14526,P35222,0.644
O95714,Q9NRI5,0.28
P35222,Q9UNN5,0.591
Q15797,O94973,0.684
P56134,Q92692,0.431
Q92692,P56134,0.431
P33402,Q12959,0.778
Q12959,P33402,0.778
Q92466,Q9H211,0.28
A0AVK6,Q96AV8,0.55
P56537,Q9UQ80,0.28
P54578,P17980,0.998
O75159,P24394,0.644
P54257,P60228,0.431
P55058,P02649,0.55
Q99689,Q9Y6M9,0.431
Q9NPD8,P35227,0.431
O60739,P26583,0.28
P16104,Q13315,0.976
Q49AG3,Q13485,0.36
Q9NZ63,O94868,0.36
P05067,P29353,0.986
P29353,P05067,0.986
O95897,Q13243,0.431
P59768,Q9HAV0,1.0
Q9Y496,P62993,0.431
P02545,Q92993,0.494
Q92993,P02545,0.494
Q969F0,P50402,0.431
O95361,Q15047,0.36
P57678,O75365,0.28
Q13547,P11388,0.968
P15531,Q9H8Y8,0.431
Q6KC79,O95084,0.431
P49023,Q05209,0.999
P02795,P58062,0.992
P05386,P56134,0.798
P56134,P05386,0.798
P54253,P02686,0.36
Q13002,Q92796,1.0
Q92796,Q13002,1.0
Q8IWZ6,Q9BXC9,1.0
O14908,P49795,1.0
Q8NEK8,Q9BQY4,0.431
Q9HC52,P54257,0.431
P54257,Q9HC52,0.431
P52292,Q9UK53,0.28
Q86YJ6,O15145,0.36
P04083,Q04206,0.719
O75554,Q15459,0.494
Q13547,P43405,0.55
Q9Y230,O00115,0.36
Q9Y6D9,Q14134,0.431
Q9Y3B2,Q9Y2H9,0.431
Q93008,Q13485,0.644
P55072,Q9UK22,0.431
Q5VTD9,Q9ULT6,0.36
Q8IXH7,P84101,0.431
P48436,Q7RTU7,0.28
P36873,P11802,0.684
P28074,P25788,1.0
P25788,P28074,1.0
Q96Q40,P24941,0.36
Q96AJ1,Q9BW66,0.431
P60763,P07195,0.55
P47897,P56192,0.949
Q9UPR0,P62136,0.494
Q9Y5N6,Q13416,0.997
P02774,Q92569,0.36
Q92569,P02774,0.36
P32456,P21673,0.431
Q9UHD2,P62258,0.494
Q5JSZ5,O15372,0.54
Q99801,Q92831,0.28
P10636,P23443,0.921
P31947,Q8IUC4,0.36
P27701,P21860,0.431
Q96BT3,Q15560,0.431
Q15560,Q96BT3,0.431
O60684,Q9NX58,0.28
Q86VP6,Q9BW61,0.36
P61956,P12270,0.705
Q9H081,Q9HBM1,0.874
P53396,P62330,0.744
Q13490,Q7Z434,0.431
Q9UBK2,Q9Y2X0,0.28
Q14192,Q969Q1,0.28
P05109,P05060,0.431
P01040,Q70EK8,0.36
Q9BSB4,O43524,0.36
P19438,Q13546,1.0
Q92769,P41229,0.861
Q7L2J0,Q13151,0.191
P55036,P17540,0.28
Q13432,Q13332,0.431
Q13332,Q13432,0.431
Q13228,Q9Y2S7,0.431
P40337,Q02543,0.418
Q02543,P40337,0.418
P43360,P35606,0.28
Q13283,Q9Y4K3,0.28
Q9NX58,P62263,0.482
P52434,Q9Y535,0.997
Q9H169,Q8WWQ0,0.431
P04637,Q9BTV7,0.431
Q9BTV7,P04637,0.431
Q86WV6,Q86WV6,
Q969Z0,Q9NYA4,0.28
Q15596,P27540,0.644
Q13490,Q96B02,0.431
P41567,P11171,0.28
Q9Y3C5,Q86VP1,0.921
P49716,P84022,0.55
P52434,Q00403,0.958
Q9P2W3,Q9HAV0,0.895
P53355,P27361,0.946
Q96FJ2,O60269,0.431
P27986,P00519,0.988
P00519,P27986,0.988
Q6VMQ6,Q9H4L4,0.431
Q12933,Q16584,0.482
P50750,Q13451,0.767
O95166,Q9Y3P9,0.431
Q86W92,P31946,0.28
P49917,P13010,0.793
Q15008,Q13200,1.0
Q9ULV3,P38936,0.644
P83436,Q9UP83,0.996
P18847,Q04206,0.89
Q14164,P55209,0.28
P12830,P12830,
Q96E40,P49903,0.431
P37108,Q9UNZ2,0.36
O60739,Q15365,0.28
P29353,Q12929,0.719
Q9H4B4,P63165,0.55
Q12980,O15350,0.191
Q8WWQ0,P22736,0.28
Q96GG9,Q13617,0.999
P25788,Q9UNM6,0.998
P12004,Q9HAW4,0.431
Q13263,Q14140,0.676
Q9HBW9,Q9HBW9,
Q9Y2K6,Q99613,0.191
P55209,P36957,0.494
Q8TDR0,P23526,0.55
Q9Y478,P61088,0.28
Q9NYJ8,P17858,0.28
Q13177,Q13177,
P01106,Q92616,0.705
Q86WH2,P50749,0.676
P52435,Q9Y5B0,0.793
P07355,P40692,0.719
P31946,Q5PRF9,0.712
P25208,P08047,0.591
Q14697,Q13177,0.55
O95433,Q9Y5J5,0.36
Q8WVN8,P35227,0.431
P11142,Q99933,1.0
O43592,Q96RR4,0.36
P01100,Q9Y3E7,0.28
O43541,Q9HCE7,0.94
Q9HCE7,O43541,0.94
P38398,P52701,0.999
P52701,P38398,0.999
P16220,Q7Z3K3,0.431
Q9H0Y0,Q16576,0.36
P61088,Q9C035,0.431
Q5VWX1,P31942,0.191
Q9UKV3,P42330,0.36
Q969Q5,P50395,0.36
Q9BUP0,Q14525,0.191
P46527,P30281,0.996
Q9Y265,Q9UJU2,0.28
Q12933,Q9NYA1,0.719
Q5H9L2,O75618,0.28
P68400,P31947,0.54
P31947,P68400,0.54
Q04206,Q96ST3,0.89
Q92541,Q6PD62,1.0
Q99942,Q9P055,0.55
Q16594,Q9Y6J9,1.0
Q9Y3D8,Q9Y6J9,1.0
P84022,P51522,0.494
P51522,P84022,0.494
P45974,Q9Y3C5,0.636
Q52LR7,Q9NPF5,1.0
O14879,O14879,
O76071,Q9UHI6,0.28
P09619,Q12913,0.943
O60861,Q7L576,0.431
P35548,P13010,0.482
Q9HCN4,O96006,0.431
O75376,Q9UPN9,0.431
Q06124,P32239,0.719
Q9NRW4,P28482,0.55
P84022,O95405,0.996
O75832,Q9BRP4,1.0
P25963,P04083,0.28
Q8N668,Q9Y6G5,0.431
Q99689,Q05513,0.913
Q9HB71,P23508,0.28
P29350,Q13094,0.921
Q9Y297,P49427,0.97
Q53EZ4,Q53EZ4,
Q01844,Q14576,0.824
O95967,O95990,0.431
P09619,P21453,0.431
P06239,P07900,1.0
Q9UI14,Q96D21,0.55
Q7L5N1,Q13620,0.847
P24385,P10827,0.431
P10827,P24385,0.431
Q9Y265,Q9UHD2,0.28
Q16656,Q9UBK2,0.84
P49842,P62487,0.494
P62487,P49842,0.494
Q6P9B9,Q9UL03,0.793
P11142,Q07021,0.898
P68400,P19784,0.997
P26641,Q96D98,0.36
Q15459,Q9HCE7,0.482
Q02413,Q70EK8,0.36
Q8N5Z5,Q6NW29,0.431
Q6NW29,Q8N5Z5,0.431
Q93063,Q93063,
Q13643,Q00587,0.431
O14556,Q9P0V3,0.36
Q14194,P61604,0.431
Q92785,Q8WUZ0,0.28
P60903,Q7L5N1,0.431
P19388,P19387,1.0
P09651,Q15424,0.949
P50570,Q14247,1.0
P28749,Q9Y605,0.28
O75928,Q8IVL1,0.431
P63208,Q5XUX1,0.824
Q8WUF5,Q04206,0.951
Q00987,O95819,0.28
Q14683,P09884,0.644
Q13064,Q9Y2X8,0.431
P40337,Q9Y3C8,0.28
Q8IX03,Q8IW50,0.36
Q9H0H5,Q9NYQ7,
Q14257,P60520,0.591
P60510,Q9BWH6,0.28
Q9ULX6,Q04206,0.55
O14983,P26678,0.909
P29350,Q96DU3,0.55
Q96DU3,P29350,0.55
P52272,O75365,0.36
P31947,Q00839,0.36
O75528,O00422,0.431
P19525,Q15633,0.971
P09651,P35222,0.676
Q96IX5,Q9BUV8,0.28
Q9UHD2,Q96CV9,0.977
P09211,Q00597,0.744
P34932,Q9NZL4,0.885
Q9NZT2,Q8IYB3,0.191
Q5VVH5,P51617,0.861
P51617,Q5VVH5,0.861
Q15700,O14490,0.995
O14490,Q15700,0.995
Q9BZL6,Q9P2E9,0.494
Q9NX58,P62750,0.836
Q09470,Q9NQC3,0.55
Q9H4K1,P19012,0.431
Q15428,P22626,0.591
Q8WV28,P21854,0.431
Q00653,Q00653,
O00213,Q9Y2W2,0.28
P50453,Q15047,0.431
P49459,P35613,0.28
Q9NZU7,P01100,0.28
P07910,P51116,0.676
P51116,P07910,0.676
Q8IZP0,Q07889,0.946
Q07889,Q8IZP0,0.946
O00231,P62195,1.0
Q86SQ7,Q9Y4K3,0.28
Q9H063,O43504,0.431
Q12788,Q9BTM9,0.36
Q9UQ35,P02545,0.191
P35240,Q92963,0.28
P22362,P32246,0.482
Q2NL82,Q9Y478,0.28
P25963,O95163,0.82
P50395,P40337,0.28
P35555,P98160,0.482
Q9P253,Q9P2Y5,0.772
Q9Y239,Q9Y2Z0,0.482
Q7KZ85,P19387,0.719
Q9NP66,O60941,0.744
O60941,Q9NP66,0.744
P49023,P06396,0.644
P13861,P51787,0.431
Q9Y6J8,P78330,0.36
Q9Y6K9,O14980,0.28
P11021,Q00653,0.28
Q969U6,Q6UVJ0,0.55
Q9Y6K9,Q9BWT7,0.89
P17036,P17036,
Q99547,Q13432,0.431
Q13547,Q9NP62,0.431
O00221,Q04864,0.953
Q9Y3B9,O75604,0.36
Q9Y2I6,Q9BRK4,0.431
P10244,P78396,0.84
P11388,Q08211,0.986
Q8IZX4,P62380,0.191
P17844,Q15428,0.816
Q9Y508,P61077,0.778
Q9NTI5,Q9NTI5,
P41235,Q12778,0.798
O75376,Q9Y618,0.981
P05556,P15529,0.431
P15529,P05556,0.431
P01106,P61964,0.431
Q9Y3Q8,P21673,0.431
P62993,O43609,0.9
P11142,Q8IZP0,0.824
P63096,O43566,0.926
Q9HCC6,Q5T200,0.28
P10244,Q92793,0.676
Q9Y6K9,Q9UNM6,0.28
O95073,O95400,0.36
O95400,Q9Y620,0.36
Q99963,P08670,0.431
Q12967,P32121,0.644
P32121,Q12967,0.644
P14921,Q96NC0,0.28
Q9ULV1,Q00604,0.972
P54646,Q15773,0.36
Q15796,P29590,0.778
P46087,Q13233,0.28
P62993,Q8TF74,0.705
P20333,P38646,0.28
Q13129,Q92963,0.719
Q13573,Q9Y618,0.968
P26641,P39748,0.431
O15105,O43541,0.798
Q9NYH9,Q9BQY4,0.431
Q04206,P23396,0.951
P23396,Q04206,0.951
Q15554,Q05519,0.191
P63279,Q6VMQ6,0.431
P24534,P23508,0.28
P55001,O76061,0.28
Q13422,O75182,0.928
P16410,Q96CW1,0.994
Q96CW1,P16410,0.994
