UniprotID_1,UniprotID_2,confidence
Q15349,P28482,1.0
P19438,Q9NVI7,0.28
Q96KG7,Q86UW7,
Q96KG7,Q86UW7,0.191
Q04637,Q14164,0.28
Q9BTM9,P21127,0.36
Q15014,Q00169,0.36
O60383,Q15102,0.431
Q9UN37,Q9Y3E7,0.494
P49888,O00204,0.431
Q92831,O75528,0.984
Q12873,P33240,0.431
P56524,P15976,0.55
O75365,Q8N1F7,0.28
P57678,O43353,0.28
Q9BZK7,P50402,0.431
P15121,Q9Y4K3,0.28
Q9UHR5,Q9H9D4,0.36
P62277,Q96S44,0.494
Q9Y6K9,P49327,0.28
P02787,P78314,0.36
Q9HBA0,P06241,0.28
P06241,Q9HBA0,0.28
P00338,Q92597,0.798
P61981,Q9NQG6,0.36
P04183,Q04724,0.636
Q8IZU3,Q9UQE7,0.778
Q15274,Q9UMX1,0.431
Q9NZV5,P00519,0.28
P49720,P49721,1.0
Q9BS40,Q9Y2W1,0.36
Q86SE5,Q6ZN18,0.431
P10275,P24864,0.431
Q9H0R8,Q15459,0.28
Q12933,P61088,0.997
Q4VCS5,Q86WA8,0.191
Q13418,Q9P003,0.28
Q9UER7,Q9UER7,
Q9UI95,P12830,0.644
Q04637,P06730,1.0
P06730,Q04637,1.0
Q9Y239,Q9Y5V3,0.28
Q13309,P31946,0.644
Q4LDE5,O95405,0.36
P16333,Q9HCQ7,0.28
P46459,P60228,0.431
Q96QH2,Q9H0A6,0.644
Q9H0A6,Q96QH2,0.644
P78509,P78509,
Q8WXA9,P07910,0.494
P21912,P55040,0.36
P68036,O60573,0.28
P53671,P53667,0.644
P62899,Q9NX58,0.738
Q9H204,Q9UHV7,0.984
Q86X55,Q04206,0.909
Q9NVZ3,P63010,0.917
P63010,Q9NVZ3,0.917
P40426,Q6RW13,0.744
Q6RW13,P40426,0.744
Q07666,P62993,1.0
P12236,Q9NTM9,0.28
P30419,P17655,0.55
P06702,Q9Y575,0.191
Q01844,P60660,0.719
Q9UL18,P04637,0.191
O75379,Q9BXS5,0.874
Q9BXS5,O75379,0.874
P25942,O43734,0.591
P16333,Q99259,0.28
Q92793,Q53ET0,0.431
Q8WXI2,Q86TA1,0.36
P51693,P42773,0.431
P27348,Q9Y6J0,0.861
Q13889,P18074,0.999
Q7Z7L7,Q13617,0.84
Q13309,P24941,0.999
P78364,Q06587,1.0
Q9UM73,P19174,0.767
P49753,Q9NRM2,0.36
Q7Z5Q5,O15287,0.28
P49715,P06400,0.767
Q9Y3C7,Q08117,0.431
Q9Y4Z0,O43172,0.999
O14641,Q96EB6,0.431
P00558,Q9GZZ9,0.75
Q13263,P78396,0.28
P41220,Q9UBQ0,0.636
O60869,P20226,0.964
P20226,O60869,0.964
O15235,P58062,0.9
Q13490,Q99558,0.767
P14921,Q96KR1,0.28
P19338,O95793,0.953
O95793,P19338,0.953
P54259,Q9HC77,0.36
Q8N448,Q9NPD8,0.431
P07737,O00401,0.744
P12931,Q96NS5,0.28
Q99942,O95870,0.494
O95870,Q99942,0.494
P52735,P78314,0.84
P78314,P52735,0.84
Q14738,Q13136,0.982
Q13136,Q14738,0.982
P05109,Q38SD2,0.36
Q13077,P23284,0.28
P35222,O14640,0.644
Q13153,P51522,0.431
P62330,Q9Y312,0.28
Q8IZL8,O14964,0.824
P31273,O43541,0.861
Q92574,Q02833,0.431
Q13042,Q9UM13,1.0
P54253,O43251,0.772
O95999,Q9Y4K3,0.816
O15492,P08754,0.999
Q9UMS0,Q9P0V3,0.36
Q9P0V3,Q9UMS0,0.36
Q14684,P11387,0.54
Q92918,O75791,0.998
Q12841,Q92624,0.55
P19438,Q9BVA1,0.28
P49840,P61981,0.858
Q8IY31,Q8TDR0,0.482
Q9P253,Q9UJY5,0.55
Q8TEE9,O75446,0.55
P29460,P29460,
P08047,Q99471,0.28
Q12962,P08238,0.191
Q6ZSG1,P62837,0.431
P23297,P25815,0.961
Q9H079,O95251,0.431
Q9P0V3,P61981,0.738
Q9HBW0,P13569,0.778
Q9UQF2,Q9BY84,0.778
Q92616,Q9Y4K3,0.28
P60763,Q9UHY1,0.778
P47756,Q9P287,0.431
Q9P287,P47756,0.431
Q9UNM6,Q5VYK3,1.0
P01106,Q9UI26,0.28
Q9Y5N5,Q9UI30,0.981
Q9BWH6,P43360,0.28
Q14164,O00193,0.28
Q8WVZ9,O75694,0.36
Q9H1M0,O15294,0.431
Q99814,Q06413,0.431
P11474,Q92785,0.55
P12931,Q86X10,0.28
P35080,Q9H0I3,0.431
Q99963,P35527,0.28
Q02878,O95793,0.854
O95793,Q02878,0.854
P63316,P19237,0.895
Q96BY9,P21673,0.431
Q8TF21,Q13432,0.431
Q05655,P61981,0.644
Q9HBJ7,P04637,0.55
P17301,Q99828,0.431
Q8WXA9,P31943,0.494
P11171,P58546,0.28
P61024,P24385,0.482
Q99963,Q08117,0.431
Q6P9B9,P62875,0.191
O15126,Q05086,0.431
Q9NRI5,Q63HM2,0.36
Q6UVJ0,O15350,0.191
O15297,Q00987,0.89
Q00987,O15297,0.89
Q8TAF3,O60832,0.36
Q96GF1,P62195,0.191
Q16539,P28482,1.0
P28482,Q16539,1.0
P11142,P19438,0.591
P19438,P23458,0.744
P20592,P20592,
P52735,Q7Z3K3,0.36
Q7Z3K3,P52735,0.36
O43586,Q9UBS9,0.28
P98170,P61088,0.644
Q14686,O14607,0.55
P35222,P11362,0.431
Q13490,P15170,0.719
P19525,P50579,0.719
Q86XR7,P58753,0.719
Q9GZT8,Q14749,0.431
O43660,Q8IYB3,0.952
Q9UQF2,O43318,0.997
P10398,P40692,0.494
P48039,Q9HAV0,0.824
P30085,Q9UKE5,0.28
O14757,P08238,0.676
Q9UIM3,Q13432,0.431
P31947,Q96IF1,0.55
P78371,Q66LE6,0.9
P52907,Q99759,0.719
Q96P09,P61088,0.431
Q9Y6R4,O75369,0.719
Q9NS73,Q9NS73,
Q13472,Q15554,0.778
Q15554,Q13472,0.778
Q9Y616,Q9Y4K3,0.921
O43463,P10276,0.55
P40818,Q14596,0.778
O00299,Q99996,0.431
P19438,P53675,0.28
Q71U36,P61981,1.0
Q8NFA0,P35125,0.28
Q14194,Q16555,0.995
Q9H213,Q96SN8,0.431
Q96SN8,Q9H213,0.431
Q96RL1,Q9UN86,0.36
Q9Y6Q6,Q9NYJ8,0.431
P14598,P26038,0.84
Q93062,Q15645,0.431
P02686,P28482,0.999
Q9Y5K6,P56945,0.9
Q9HD26,P51790,0.84
P51790,Q9HD26,0.84
Q96GQ7,P61981,0.431
Q8IVH8,Q9NZM3,0.431
O75554,O60610,0.431
Q05655,Q9H5V8,0.951
Q16659,P14625,0.431
P28482,Q13501,0.861
Q9H446,P60763,0.28
O60739,P46781,0.6
Q15796,Q9BVG4,0.28
P25788,P23508,0.28
P48039,P29992,0.431
Q14289,O94875,0.824
O94875,Q14289,0.824
P29372,Q9HB71,0.28
O60941,P37198,0.431
P84022,P12757,0.996
P12757,P84022,0.996
P19438,Q15628,1.0
O75365,O94874,0.28
O76071,Q14527,0.28
P15880,P46782,0.997
P23193,Q8WVC0,0.931
Q01105,Q15172,0.744
A7MCY6,A7MCY6,
P29350,P31994,0.935
Q14683,Q8WVM7,1.0
P50552,P51617,0.28
Q92558,Q9Y2A7,0.997
P05109,P68366,0.6
Q7Z3U7,P20333,0.28
P02741,P31995,0.431
P16333,O43918,0.28
P20309,Q00987,0.28
Q99750,A8K8P3,0.431
Q2TAZ0,Q9H0R8,0.644
P52943,P54259,0.36
O75558,P25788,0.431
P25788,O75558,0.431
Q8NFJ9,Q99814,0.36
O75694,Q9Y4K3,0.28
P48023,Q15642,0.644
P55072,Q14164,0.36
P48634,Q16891,0.494
Q6ZU15,Q15019,1.0
P13805,Q13136,0.431
Q13136,P13805,0.431
O43924,Q92834,0.999
Q92834,O43924,0.999
P63215,P62879,1.0
P98170,O15304,0.55
Q09161,P62633,0.28
Q9H204,Q8N6Y0,0.431
Q14839,Q09028,1.0
Q13158,Q13546,1.0
P07858,Q9HBJ7,0.36
P05413,P53350,0.36
Q9UKS7,Q96ST3,0.482
Q9UK76,Q17R89,0.431
Q17R89,Q9UK76,0.431
P04179,P23508,0.28
P28749,P29323,0.28
Q7L2E3,P12757,0.494
P12757,Q7L2E3,0.494
Q09472,Q00403,0.84
Q14192,Q02535,0.36
Q9BZ23,P61981,0.494
P60896,P51587,0.979
P49662,Q9Y241,0.28
A6NHT5,Q8NB14,0.191
P49674,P49411,0.684
Q9Y3F4,P49841,0.54
P26368,O14776,0.793
Q9BSB4,P36776,0.36
Q9NRZ9,P01106,0.54
P01106,Q9NRZ9,0.54
Q15834,Q8NEF3,0.431
P41238,Q9NQ94,0.928
Q8WYB5,P54259,0.36
P11171,Q08211,0.28
P22415,Q09028,0.482
Q9BQD7,Q16891,0.431
Q16891,Q9BQD7,0.431
Q8N1N4,Q8IXJ6,0.36
Q14181,Q8IU60,0.431
Q02543,Q08117,0.36
Q9H3U1,Q13286,0.36
Q96KM6,P04275,0.431
Q9Y4J8,P11532,1.0
P68431,P35659,0.591
Q14203,P18669,0.6
P18669,Q14203,0.6
P82914,Q96EY7,0.928
P62745,P22392,0.431
Q9BPX1,Q6ZVK8,0.744
P00533,P20336,0.28
P11940,P22314,0.82
P62333,Q9Y4K3,0.28
Q9GZS1,O95602,1.0
O95602,Q9GZS1,1.0
P63173,Q9HCK5,0.36
P62633,Q99729,0.6
Q99729,P62633,0.6
Q9BUE0,Q9BUE0,
Q15797,P28070,0.959
P10275,Q00987,0.992
P63167,Q9Y228,0.28
Q04912,P19235,0.431
P15172,P68431,0.55
Q15834,Q9H5Z6,0.431
O15294,P25942,0.28
P32121,Q13428,0.591
Q16363,P68104,0.431
P68104,Q16363,0.431
Q15393,Q9UGY1,0.36
O43809,P23508,0.28
O95477,Q9HAP6,0.591
O75533,P61981,0.591
Q8N2W9,Q13485,0.885
Q99608,Q01094,0.998
Q9H4K1,Q969Y2,0.431
Q9H7Z7,Q01780,0.494
Q99728,Q9P2H0,0.6
P53350,P30307,0.997
P30307,P53350,0.997
P17980,P28074,0.999
P28074,P17980,0.999
P60520,P22061,0.28
Q15554,P62380,0.191
P00519,P06400,0.963
P35080,P42858,0.684
Q6XZF7,Q05193,0.778
P21333,Q8N264,0.938
Q8N264,P21333,0.938
Q92922,O14920,0.28
O95983,Q8WWY6,0.778
Q13155,Q8TAP4,0.431
P11142,Q00653,0.6
Q8WWY6,Q16576,0.28
Q92574,P49815,1.0
Q9Y6I4,Q99613,0.36
Q8N668,P10909,0.676
Q9HCE7,Q53GL0,0.984
Q53GL0,Q9HCE7,0.984
P38936,Q16531,0.482
P18615,Q8WX92,0.999
P27448,P31946,1.0
P31946,P27448,1.0
P62851,P08708,0.999
P35222,O14490,0.824
Q9P2H0,P33240,0.431
P53675,O00291,0.99
Q9NS56,P53350,0.705
Q01844,P43005,0.431
P22392,P61326,0.28
O43399,O43399,
Q8IW35,Q5T7B8,0.921
Q07812,Q07817,1.0
Q07817,Q07812,1.0
Q09472,P05549,0.861
P05549,Q09472,0.861
Q96KG7,Q86XR8,0.191
P42858,Q13363,0.719
Q8N5R6,P51116,0.431
P51116,Q8N5R6,0.431
Q13283,Q5SRE5,0.36
O14490,P00519,0.28
Q9P2H0,Q9NRI5,0.644
Q9HAV7,P54274,0.191
Q13424,P35498,0.55
Q13485,Q99805,0.494
P12931,Q9P1A6,0.28
P48039,P27824,0.644
P12004,P20248,0.482
O95714,P60953,0.431
Q8TEW0,Q01970,0.89
Q13643,Q15796,0.89
Q9UJY1,P04792,0.999
P22570,P49789,0.921
Q96HR3,P49336,0.984
O14610,P62879,0.732
P55854,P63279,1.0
Q15554,Q92878,0.973
P50995,O75340,0.9
O00231,P62333,1.0
P16152,Q9Y4K3,0.28
P23193,P30876,0.921
Q14678,Q9UQB8,0.957
Q15796,Q9BX66,0.28
P55036,Q9Y5K5,0.988
P53618,Q9NRR5,0.431
Q9NYL2,Q9NYL2,
P26641,P24534,1.0
O60504,O96006,0.431
P84022,Q9HAU4,1.0
Q9HAU4,P84022,1.0
P45983,O75369,0.55
Q96L34,P23258,0.93
P22392,O00264,0.28
Q8N2W9,Q8IUC6,0.644
P25054,P35580,0.431
P62750,P05388,1.0
Q92900,Q12796,0.55
Q9HAU4,Q9Y692,0.28
Q8NB91,Q8N2Z9,0.28
P11021,Q01201,0.28
Q15691,P54274,0.969
Q969G5,Q9UBC2,0.644
P31939,P00533,0.28
Q02224,Q02224,
O75365,O00159,0.28
P55040,Q02641,0.431
Q9Y3F4,Q969L4,0.28
P42680,P16471,0.719
P16471,P42680,0.719
P50750,O60583,1.0
Q15417,P50402,0.36
P63165,O15151,0.482
O75716,Q6UY14,0.744
Q96KQ7,P26358,0.55
Q969L2,P55327,0.921
P31151,Q96S59,0.89
P11940,P15170,1.0
Q16611,P61160,0.36
Q86XR7,Q9Y4K3,0.824
O95997,P12830,0.28
Q96IZ0,P19544,0.824
Q13616,P23508,0.54
O00213,O60828,0.36
P14625,Q9GZZ9,0.75
Q16718,O75438,0.961
O75438,Q16718,0.961
P78317,P62837,0.867
Q9GZM8,Q9NRI5,0.999
Q06187,P15498,0.431
Q9P031,Q9P286,0.36
O43261,Q9BVJ6,0.36
Q96FV9,Q86V81,0.971
O43567,P61088,0.431
O95238,Q99801,0.798
Q99801,O95238,0.798
Q92574,P20936,0.431
P98177,Q96EB6,0.824
Q86Y13,Q96LR5,0.591
Q93062,Q15345,0.431
Q15397,Q86YV9,0.36
P40337,P20340,0.28
O95967,Q03014,0.431
P43360,Q9H993,0.28
Q9Y262,O15371,1.0
Q9H993,Q14164,0.28
P00558,P08238,0.999
P51946,Q13330,0.644
P0DI81,O00299,0.824
O00299,P0DI81,0.824
Q13432,P21673,0.431
P21673,Q13432,0.431
P51149,Q14164,0.28
P05556,P32927,0.824
P02786,Q9P0V3,0.89
Q9UKY1,Q92535,0.431
P14091,Q92979,0.36
P01100,Q12874,0.28
Q9H3R5,Q15126,0.36
P47756,Q9BYC9,0.431
Q9Y3F4,O75365,0.28
P04179,Q7L5D6,0.36
P68371,P61457,0.28
P19387,P52435,1.0
P52209,P62330,0.28
Q9Y2K6,O75521,0.191
P52948,P78406,1.0
P78406,P52948,1.0
Q13541,O60573,0.999
Q8N1G0,Q8N201,0.191
Q09472,P12830,0.28
P49247,P49247,
Q96KM6,Q5T7N2,0.36
O95999,Q14525,0.36
P04264,P11226,0.431
O94952,Q9C0A0,0.431
Q13387,Q9BY84,0.431
O00571,Q7Z6M2,0.431
Q86X55,P16220,0.55
Q14164,P61081,0.28
Q13177,Q15052,1.0
Q12879,Q14289,0.938
Q93009,Q8WUA2,0.191
Q14457,Q07820,0.744
O94817,Q9H2U1,0.36
Q9H2U1,O94817,0.36
P49720,P25786,1.0
O95295,Q8NER1,0.719
Q13616,P84022,0.676
Q9HC38,P23508,0.28
P55040,P13497,0.36
P25098,Q14161,0.719
Q14161,P25098,0.719
P34932,P23396,0.957
Q9Y6J8,Q08117,0.36
Q92956,P67812,0.36
O14827,O14827,
Q9UJ83,Q9UJ83,
Q9NPI1,P63279,0.28
P22681,P42336,0.738
Q5UIP0,Q9H4M7,0.28
Q96PU8,P84101,0.431
O14503,Q9C0J9,0.482
Q00987,Q8N9B5,0.55
P36575,P49407,0.482
P35555,P02768,0.28
Q96GF1,P61077,0.991
Q9UQ35,Q12899,0.191
P31269,Q15654,0.798
Q00587,Q9BQ66,0.431
Q9BQ66,Q00587,0.431
O43447,O43172,0.998
P34932,P11308,0.28
Q9BQ83,P07992,0.712
Q9UMR2,Q9UIA9,0.431
Q99873,P35637,0.948
Q92889,Q5VYV7,0.684
P24385,P49815,0.55
P34932,O43918,0.28
P62330,Q14651,0.431
P08581,Q04756,0.28
P12757,Q12873,0.36
Q15038,Q9P0T4,0.431
Q9P0T4,Q15038,0.431
P29474,Q8TAG9,0.431
Q9UQF2,P05067,1.0
Q9H492,Q14596,0.98
P07197,P05412,0.28
P84095,Q92556,0.874
P16035,P55786,0.28
Q9NSA3,Q9BZK3,0.28
P48023,P07947,0.644
P55001,P02768,0.28
P24864,O60260,0.28
Q13547,Q9NQX1,0.778
Q96EP1,Q96B02,0.431
P63261,Q13233,0.28
Q969T4,P54253,0.36
Q9NS73,P61964,0.978
P61964,Q9NS73,0.978
P48556,Q5VYK3,1.0
Q03135,Q13021,0.591
O60828,P20265,0.778
P20265,O60828,0.778
Q9NR30,Q8WYA6,0.28
Q13794,Q07812,0.676
P63208,Q969P5,0.888
P22681,P07949,0.938
O95707,Q969H6,1.0
O75791,P62258,0.431
Q9P2R6,Q16610,0.36
Q16610,Q9P2R6,0.36
P55039,Q9H446,0.998
Q92993,Q9NXR8,1.0
Q70EL2,P35580,0.36
Q12846,P51809,0.885
Q99558,Q8NHW5,0.28
P62258,Q7Z353,0.28
Q0VD86,P78396,0.861
P26641,P60953,0.644
O15533,Q03519,0.982
Q0Z7S8,Q05469,0.719
Q13459,Q9Y3A3,0.36
Q8IW19,P13010,0.964
P35222,Q4LE39,0.28
P49354,Q12974,0.36
P43246,O43918,0.55
P16035,O76070,0.36
P49810,Q15382,0.431
Q15382,P49810,0.431
O15264,Q9NQ31,0.36
P62993,P05787,0.874
Q6DKI1,P32121,0.36
Q15797,P22670,0.494
Q8WUM0,Q8NFH4,0.854
Q15796,Q9H501,0.28
P35998,O00487,1.0
O00141,P49411,0.6
Q08AD1,P61981,0.28
Q9UKV5,P13569,0.482
Q92561,Q7L5N1,0.431
P42685,P06400,0.946
Q8IXH7,P10398,0.989
Q5T3J3,Q99689,0.431
P50552,O15162,0.431
O14980,O75888,0.28
Q8WYH8,O95251,0.54
P17028,P57086,0.431
Q15796,O15230,0.494
O60343,Q9NTZ6,0.36
Q6P1J9,Q92541,1.0
Q969V5,Q9Y2X8,0.431
Q13077,Q92956,0.644
Q9UKV0,O75376,0.9
O75376,Q9UKV0,0.9
P38936,Q7L5D6,0.431
P49757,O95782,0.959
Q9HCN4,P35520,0.644
Q9Y265,Q15365,0.871
P00747,P07355,0.431
Q14155,Q13153,1.0
P12004,Q08211,0.854
P13861,P13861,
Q15714,Q9NYY8,0.28
P78364,Q8IXK0,1.0
P68363,Q9ULG1,0.719
P11216,P40692,0.191
Q9Y6K9,P51617,0.99
Q9H6Y7,P61077,0.979
P17480,P06400,0.9
P51692,Q9UGK3,0.644
Q9P2D1,Q969G3,0.772
Q14839,P17542,0.676
Q02246,Q9NYJ8,0.28
Q8WV28,P29350,0.854
P29350,Q8WV28,0.854
Q96EV8,Q6AI39,0.36
Q14164,P24534,0.28
P04406,P50453,0.644
Q9UBN7,Q9NSV4,0.28
P25054,P35658,0.431
Q9H1I8,P00966,0.431
Q99598,Q96AQ6,0.431
P09923,Q14240,0.36
Q13526,Q9NY61,0.28
O95376,P68036,0.999
P06241,Q9Y210,0.719
Q9Y210,P06241,0.719
P04626,O95602,0.824
P20265,P20265,
P08581,Q06124,0.591
Q06124,P08581,0.591
Q86YZ3,O43502,0.28
Q13155,Q15046,1.0
Q9UPT9,Q9Y4A5,1.0
Q92831,Q96EB6,0.824
P28749,O95400,0.28
Q15654,P56945,0.874
O95453,Q9H0A9,0.494
Q9H0A9,O95453,0.494
Q9UKV5,Q99942,0.28
P15498,P62993,0.998
P07951,P23508,0.28
P53618,Q9UH99,0.431
Q13541,P42345,1.0
Q15020,Q7L2J0,0.482
O75489,P03923,0.961
Q13561,P49006,0.861
P08047,Q06413,0.644
Q9Y572,P80723,0.28
Q9Y2Z0,Q9HC29,0.28
Q14050,P00533,0.28
O14929,Q92560,0.54
P41227,Q15052,0.55
Q07890,Q96RF0,0.824
O43741,O60307,0.494
P27448,Q96AD5,0.431
Q13950,Q09472,0.895
A7KAX9,Q9UQC2,0.778
Q13564,P61081,0.947
Q96RU7,Q04206,0.55
P51946,P25786,0.431
Q09028,Q13111,0.997
Q9BQD3,Q8IYF1,0.431
P10244,P09874,0.644
Q15014,Q14974,0.824
O95166,Q13043,0.712
Q92905,Q8NEZ5,0.591
Q9NPI5,Q9NRC1,0.55
Q13616,Q9UNS2,0.847
P36578,P84022,0.36
Q15047,P78417,0.431
P78417,Q15047,0.431
P13796,Q99700,0.861
Q06587,Q8N488,1.0
Q14164,P04843,0.28
Q92667,P13861,0.94
O60739,P60981,0.28
Q9UHD2,P62269,0.28
P06400,Q02548,0.861
P49407,P05412,0.431
P78324,Q9C040,0.431
Q13137,O95201,0.431
P48995,Q9UL62,0.854
P12755,P29590,0.719
P63279,Q8WV44,0.431
Q8WV44,P63279,0.431
Q9NX47,Q9H8T0,0.431
Q92561,O14744,0.431
O14744,Q92561,0.431
O00231,Q9UNM6,1.0
P13010,P49642,0.28
O75886,Q15038,0.431
Q15038,O75886,0.431
O75376,P04637,0.28
P63261,P12830,0.676
Q9Y277,Q13530,0.28
Q9GZN1,P50395,0.28
P49902,Q6ZVK8,0.744
P61244,P22626,0.28
P11142,Q04206,0.55
Q96E14,Q8N2Z9,0.28
Q8N122,Q13541,1.0
Q13541,Q8N122,1.0
Q99250,Q12955,0.482
Q14008,P27986,0.28
P51668,Q86Y13,0.676
P49257,Q9BS26,0.778
Q9H0R8,O95210,0.798
Q13438,Q15796,0.494
Q15796,Q13438,0.494
Q5VTD9,Q96IF1,0.36
P49768,Q9Y4K3,0.705
Q9Y4K3,P49768,0.705
O60216,Q8WVB6,0.36
P78371,P50613,0.191
Q12840,Q9H0B6,0.999
O43586,P61254,0.36
P04637,Q92994,0.431
Q9BSB4,Q9BXW4,0.494
Q96G04,Q9NRG1,0.431
Q9NRG1,Q96G04,0.431
Q9BZI7,Q9UK80,0.36
Q9UL25,P23508,0.28
P63279,P14373,0.591
O43187,O43187,
P17542,Q16576,0.55
Q9H361,P62633,0.644
Q14676,P04637,0.431
P04637,Q14676,0.431
O96013,Q86YP4,0.36
Q9Y5S2,Q13163,0.644
Q99728,Q99689,0.494
O00213,Q8N8S7,0.591
Q13547,Q04206,1.0
O43900,P00519,0.28
Q9Y478,O00487,0.28
P28749,Q9NPF0,0.28
P13612,P26010,0.867
P17066,Q9UNE7,0.874
P40337,Q9P258,0.28
Q92956,Q969V3,0.28
Q16543,P62258,0.985
P04629,P00519,0.921
Q96BI3,Q9NZ42,0.999
Q9NZ42,Q96BI3,0.999
O14908,O00159,0.36
Q9NWS0,Q8IXW5,0.191
Q9BQD3,Q8N5R6,0.431
O43353,O00463,0.431
Q13705,P36896,0.984
Q9UMS6,P61981,0.431
P61981,Q9UMS6,0.431
Q7L804,Q9BXF6,0.28
Q96EV8,Q96A65,0.36
Q14192,Q92785,0.36
Q14203,Q9Y2Q3,0.36
Q9NRR5,Q9UMX0,0.997
Q9UMX0,Q9NRR5,0.997
Q9UQ35,Q14566,0.191
P48729,P09429,0.798
Q9UM73,Q7RTS7,0.28
P29372,Q9H8S9,0.28
O95786,Q8IUD6,0.55
P40337,Q92830,0.28
P17980,Q8N726,0.9
P10914,Q02556,0.99
Q75N03,P12830,0.988
Q9UET6,P61247,0.28
P27694,Q9BUJ2,0.55
Q96EB6,Q8WTS6,0.861
O14654,P20333,0.28
Q9NR09,P18206,0.676
P19883,P03950,0.913
P03950,P19883,0.913
Q13546,O15519,0.974
O15519,Q13546,0.974
P25963,A0JLT2,0.431
Q9Y230,Q9H6R7,0.54
Q86VP6,Q7L2J0,0.345
Q06330,P46531,1.0
O43261,O60383,0.36
Q16875,Q13617,0.36
P12755,P15976,0.28
P04040,P42684,0.824
O00221,P34931,0.55
O15066,P20339,0.28
P49736,O43918,0.55
Q07866,Q6UWE0,0.431
P54253,O60828,0.55
Q9Y276,Q9GZR7,0.431
Q9Y5Y6,O43278,0.28
P42773,Q5UIP0,0.28
P11831,P17676,0.943
P55212,P55212,
Q3KQU3,P01106,0.28
Q99081,Q02363,0.744
Q9ULX6,Q99759,0.28
Q9UET6,Q9UKK9,0.28
P29590,P23769,0.861
P23769,P29590,0.861
Q01082,Q6VMQ6,0.644
Q99729,Q08117,0.36
Q08117,Q99729,0.36
P03950,Q15904,0.431
O14933,Q9ULV8,0.431
Q9Y5X1,Q8WV41,0.955
Q13155,Q96L14,0.28
Q13526,Q69YN4,0.191
Q5VVJ2,Q9BQA1,0.431
P55209,P08047,0.931
Q9HAU5,Q96Q15,0.999
Q9Y6K9,P04083,0.89
Q8N357,Q14695,0.28
P50570,P23508,0.28
P19838,P15260,0.28
Q9NRP7,P08151,0.719
Q12933,Q9Y4K3,1.0
P49721,P25789,1.0
Q92918,P19174,0.684
Q9H204,P78352,0.55
P21580,Q8N1G4,0.191
Q2TAZ0,Q99623,0.36
Q12933,P54725,0.591
O60260,Q6NUN9,0.913
Q96J77,O43399,0.778
P27986,Q92988,0.28
Q92994,P20226,1.0
P01374,Q9HAW4,0.28
Q15427,O43639,0.55
Q99558,P08708,0.28
P49321,P62330,0.28
Q5VY09,Q00005,0.28
P04406,P48637,0.431
P61073,O60674,0.55
P37108,O15479,0.28
P23246,P26599,0.998
Q04917,P62068,0.6
P78545,P41250,0.28
P12931,O43918,0.28
P98177,Q92793,0.816
O14579,P53621,1.0
P53621,O14579,1.0
P35900,Q13057,0.431
Q9NYL2,P61981,0.55
P34741,P10242,0.28
Q5TA89,O60674,0.778
Q9NYU2,P25942,0.36
Q9HAT8,Q9NWZ3,0.981
Q9BUE0,Q9Y3C7,1.0
P17844,P35222,0.431
P32238,Q96SB3,0.431
P01100,Q9Y6Q9,0.55
Q9UEU5,Q8NEA9,0.36
Q9NRH1,Q70EK8,0.36
Q92922,Q9UK53,0.644
Q99966,Q92793,0.55
P05556,P53708,0.832
O75362,Q13363,0.921
P52435,O15514,0.999
Q9UJ41,P31946,0.636
P50995,O15162,0.431
Q9NVH2,Q8IXW5,0.191
Q9Y3B2,Q9NQT4,1.0
P41091,Q92597,0.6
P49910,P15622,0.431
P15622,P49910,0.431
P08670,Q96HL8,0.431
Q9Y6K9,P23396,0.28
P11142,Q14103,1.0
Q15464,P27986,0.778
O75368,P00533,0.676
Q13190,O95249,1.0
Q9Y2K6,O75943,0.418
P54132,P55854,0.431
P06753,O15350,0.191
Q9Y3A3,Q15831,0.36
Q15836,Q16531,0.28
P49810,Q14204,0.55
P21860,Q9UBN7,0.28
P29353,P08581,0.482
P08581,P29353,0.482
P12755,O15379,0.732
P68400,Q92793,0.636
Q12982,O60238,0.431
Q8IYI6,Q8TBN0,0.55
P48039,P08754,0.969
Q8TAX7,P02808,0.644
O43283,O43283,
P47897,Q13155,0.992
Q9Y2H9,Q9NXK8,0.431
Q06124,P42229,0.943
P42229,Q06124,0.943
Q03405,P09769,0.28
Q08211,P05412,0.431
O95402,Q9UHV7,1.0
Q9UNN8,Q08495,0.431
P34913,Q9UFN0,0.36
Q9H467,O15111,0.644
O95625,O15105,0.494
O15105,O95625,0.494
P26639,P62330,0.744
Q9NZU0,Q99623,0.28
Q9HCK5,P42766,0.36
P33176,Q9Y4G8,0.55
Q9GZN7,Q9NRI5,0.36
Q96L73,Q04206,0.431
O95376,Q9NRI5,0.36
Q9UBS4,O95163,0.431
Q9UHL9,P00519,0.28
Q01130,Q8WXA9,0.943
Q96RR4,Q16539,0.36
Q00653,P62263,0.6
P08134,P40337,0.36
Q17RB8,O14933,0.431
O14933,Q17RB8,0.431
Q15438,O60759,0.885
O60759,Q15438,0.885
P14780,P07996,0.84
P12931,O00254,0.28
Q5VV52,P54257,0.431
Q9BV40,Q9UNK0,0.998
Q9UIG0,O60264,1.0
P63092,Q16658,0.36
Q8TAB5,Q8N6Y0,0.431
P11940,O43432,0.921
Q93062,O43189,0.431
Q9C0E4,P00519,0.28
O95757,O60496,0.36
O94985,Q99767,0.955
Q92905,Q99759,0.644
Q12778,P61981,0.983
P16035,P22061,0.28
P84022,P41229,0.28
