UniprotID_1,UniprotID_2
P48307,Q12888
P08F94,Q9Y2X7
P02008,Q04759
Q8TF74,P16104
P05452,Q6R327
B0YJ81,O15530
B0YJ81,P04049
A2RU30,Q14643
Q08648,P35222
Q9H936,P35222
P52209,P04792
P29083,P11274
Q9GZU2,P30305
P11498,P08559
Q9Y330,Q14653
O75643,Q14653
O75347,P42261
O75347,Q13501
P36406,Q14457
P36406,Q13501
P56545,Q9NQB0
O43172,P19419
P20061,P10636
P20061,P98177
O75891,P55957
P19623,P55011
P19623,Q9UHW9
P36222,P35222
P36222,P29966
Q12841,O43521
Q66K74,P17676
Q96JE9,P17676
Q8IWC1,P17676
Q9UN86,O75581
P55084,O43524
Q96FE7,P12004
Q8WYP5,Q14739
P09466,Q9NRC8
P09466,Q96EB6
Q16877,Q9Y6Q9
Q6P1J6,P26678
P41181,P41181
Q9BVK6,P10636
Q9BVK6,P04150
E2RYF7,Q15717
P13985,Q13153
P13985,P10636
P13985,Q05397
P13985,P04150
P13985,P56817
P13985,Q8NEB9
P13985,Q16555
Q16853,P28562
Q8NAU1,P29474
Q8WWA0,P29474
Q16610,P14618
Q5QJ74,P30307
Q5QJ74,O43521
P41567,Q14152
P41567,P42345
Q8N5A5,P38936
O94952,Q14653
P51948,P03372
P51948,P10276
Q13888,Q13888
Q13888,P10276
P32119,P08047
Q14565,O14757
Q5T3J3,O14757
Q8WXF7,O14757
Q6UXB2,O14757
Q96QC0,P78527
Q9C0C2,P78527
Q9P2D1,O14757
Q9NY74,O14757
Q9Y2N7,Q13263
Q9Y2N7,Q13315
P63302,P04637
P36551,P30304
Q9Y291,P35222
Q8IYD1,Q13541
Q96KG9,P04792
O43704,P24385
O43704,P46527
O14894,P46527
Q92817,P46527
O95259,P23760
Q9BT78,P04637
P30085,O43524
P30085,P18846
O95639,P24385
O95639,P03372
P11172,P06400
P26373,P24941
Q9Y316,P03372
P81408,Q9NZC7
P17735,P08047
P17735,Q12879
B1AKI9,Q05397
O60488,P23443
O60488,Q05397
Q14508,Q05397
Q01650,Q05397
Q6FHJ7,O00755
Q6FHJ7,Q05397
Q96EN8,P08670
P00540,Q02750
P00540,P00540
P00540,P07550
P00540,P10636
P00540,P08670
Q9Y603,P15927
Q8NFZ0,P15927
Q9Y6M4,P27348
Q9Y6M4,Q05940
Q9Y6M4,P49810
Q9Y6M4,Q12968
Q9Y6M4,P35222
Q9Y6M4,P49674
Q9Y6M4,Q00535
Q9Y6M4,P55957
Q9Y6M4,P25054
Q9Y6M4,P10070
Q9Y6M4,Q12778
Q9Y6M4,P04637
P48147,O14974
P48147,P42345
P48147,Q05655
P48147,P13639
P48147,P43694
P48147,O43684
Q32MZ4,P35222
P02774,P04150
P02774,P35222
P04062,P04150
P04062,P35222
O43482,P35222
P25705,Q9GZV1
Q9HCN6,P16885
Q9Y2Q0,O95835
P55789,P46937
Q8IY63,P46937
O60220,P16104
P09467,P16104
P19957,P16104
P19957,O14757
O14656,Q06124
O14656,P53779
O14656,P45984
O14656,P45983
P62937,P61073
P62937,P46108
Q7Z7G0,P49023
Q14188,Q01094
Q14188,P28749
Q14188,P06400
Q14188,Q14209
Q14188,P49023
P49327,P49023
O43934,Q8NER1
O43934,P17676
O43934,P29474
O43934,P15498
P15144,P29317
P24158,P24001
P24158,O14974
P08842,Q05397
P19012,P19174
O75121,P28482
O75390,P00533
O75390,P78527
O75390,O15111
O75390,Q05397
O75390,P28482
P54851,Q05397
Q9BXN1,Q14247
Q7Z3E1,P04637
P06703,Q05397
P06703,P03372
P11182,P03372
A2A288,O15392
Q9Y3T9,P04637
Q15493,P25963
Q5JRX3,Q00987
Q5JRX3,O96017
Q9Y5X9,Q06124
Q9Y5X9,P53779
Q9Y5X9,P23443
Q9Y5X9,P45984
Q9Y5X9,P42345
Q9Y5X9,P45983
Q9Y5X9,P60484
P03886,P37840
Q92876,P37840
Q9P035,P04637
P59998,P61160
Q15582,Q96B36
Q15582,Q9NPB6
Q99707,P16885
Q99707,Q6STE5
Q969H8,P42224
Q8WXG1,P42224
Q8IXQ6,P42224
Q8IX12,Q8IX12
Q8IX12,P04637
Q92903,P04637
Q5TBA9,P53350
Q96MM3,O00429
O60356,P04637
P05388,P62753
Q92772,P52333
Q92772,P43403
O75976,P08581
O95970,Q16777
O95970,P04049
Q92540,Q00987
Q96J94,P16949
O95257,Q9Y6R4
O95257,P06493
O95257,P12004
O95257,P52564
O95257,P46734
P0C1S8,P06493
Q9Y3D8,P00338
Q6ZN16,Q96J92
Q8TCB0,P08047
Q9HD89,O00141
Q9HD89,P08047
O95388,Q99683
O95388,Q07812
O95388,P49815
Q9NQX6,P04637
Q99698,P04637
Q9NPF5,P04637
Q9NP79,P04637
Q9UNW1,Q06124
Q9UNW1,P12931
Q9UNW1,P29474
Q9UNW1,P04637
Q86XR5,P04637
O96020,Q02363
O96020,P17480
O96020,P15172
O96020,P25205
O96020,Q9NYV6
O96020,P54198
O96020,P10644
O96020,O75533
O96020,O15350
O96020,P30307
O96020,O00311
O96020,O43663
O96020,Q8IXJ6
O96020,P06400
O96020,P06748
O96020,Q12800
O96020,P38432
Q9P2X3,P29474
Q9P2X3,P35222
Q9P2X3,Q8IYU2
Q01780,P46527
O14829,P08100
O14829,P10275
O14829,O43524
P00390,P04150
P00390,O43524
Q8N4X5,O43524
Q5SRH9,P49841
O95382,P45983
O95382,Q16539
O95382,O95382
O95382,Q99683
Q9UGI8,P23528
P29401,P40763
P29401,P05412
O76062,Q02763
O76062,P05412
Q92536,Q13164
Q92536,O14974
Q15070,P26038
P51606,P12931
P51606,P43694
P51606,P26038
O75592,O14920
P09543,Q01970
Q9BXL5,P46937
Q9BXL5,P38936
O00442,P49841
P46098,P32121
P46098,P12931
P46098,P49841
Q8NDZ4,P38936
Q8NDZ4,P29475
Q8NDZ4,Q92934
Q8NDZ4,Q12778
Q8NDZ4,P08670
Q8NDZ4,O75376
Q8NDZ4,Q7Z6J0
Q8NDZ4,P35222
Q8NDZ4,P29317
Q8NDZ4,P49841
Q86U90,P10415
Q86U90,Q12879
Q86U90,Q92934
Q86U90,Q9H093
Q86U90,P78352
Q86U90,P04049
Q86U90,P04792
Q86U90,P49841
Q9P0R6,P49841
Q99624,P49841
P15516,Q6R327
P15516,P49841
Q9Y4L1,Q14457
Q9Y4L1,P05198
Q9Y4L1,P12931
Q9Y4L1,P00558
Q9Y4L1,P03372
Q9Y4L1,P50552
Q9Y4L1,P01106
Q9Y4L1,P29474
P48449,P29474
P37268,P48751
P37268,Q05397
P37268,P29474
Q9UQ90,Q15139
Q9UQ90,P04049
Q9UQ90,P25963
Q9UQ90,P49840
Q9NRR2,P49841
Q9NRR2,P49840
P30740,P50552
O43739,P50552
O14681,Q9HAW4
O14681,Q04206
Q06455,P78527
Q06455,Q04206
P16444,P49841
P16444,Q04206
Q7Z6L0,P19419
Q7Z6L0,Q15139
Q7Z6L0,P34741
Q7Z6L0,P28482
Q7Z6L0,P27361
Q7Z6L0,Q08881
Q7Z6L0,P08684
Q7Z6L0,Q05209
P20160,P12931
P20160,P42224
P20160,P08684
Q92504,P52630
Q92504,P23443
Q92504,Q9H4A3
Q92504,P05412
Q92504,P42229
P85299,O00141
P85299,P31749
Q92973,P31749
Q9BPZ7,P06213
Q9BPZ7,P31749
P22676,O75385
P22676,P23443
P22676,P31749
Q99572,P31749
O60502,Q00987
O60502,P31749
Q86YL7,P16885
Q86YL7,P47712
Q86YL7,P31749
P26447,P04637
P26447,P31749
P21964,P31749
Q9BXJ3,P40763
P55000,P06400
P55000,P40763
Q9HC57,P40763
Q86XP6,P24941
Q86XP6,P30530
Q86XP6,P13639
Q86XP6,P02511
Q86XP6,P29474
Q86XP6,P04792
Q86XP6,P29350
Q86XP6,P35222
Q86XP6,O96017
Q86XP6,P35568
Q86XP6,P04049
Q86XP6,P12931
Q86XP6,P49841
Q86XP6,P40763
O95206,P35968
O95206,P40763
Q5TCZ1,P40763
Q9Y282,P31749
O60762,Q06210
O60762,Q04206
Q8WXW3,P04637
P13164,P04637
Q9UIX4,O43318
Q13505,P16220
O43766,P29474
O43766,Q09472
O43766,P05412
O43766,P16220
Q9P0U4,P15391
Q9P0U4,P45984
Q9P0U4,O15111
Q9P0U4,P45983
Q9P0U4,P40763
Q9NUQ2,P40763
Q9C0B1,P40763
Q8IVS2,Q13535
Q8IVS2,P10636
Q8IVS2,P16949
Q8IVS2,P40763
Q16678,Q9NZC7
Q16678,P17302
P20933,P17302
Q6P5Z2,P00533
Q6P5Z2,P30622
Q6P5Z2,P56945
Q6P5Z2,Q6P5Z2
Q00537,P49840
Q00537,Q00537
O14828,P00533
O95630,P00533
O95630,Q86TI0
O95630,P49841
P53611,P62491
O43422,P05198
O75173,P16112
O75173,O75173
P41227,P41227
P41227,Q16665
P51512,Q15726
O76070,Q92736
O76070,P40763
O14929,Q16695
O14929,O15105
P61764,Q13393
P61764,Q16623
Q99497,P37840
Q99497,P04049
Q96P09,P55211
P05154,P00734
P05154,P04070
Q92754,Q13153
Q7Z2Y5,Q13233
Q7Z2Y5,P23528
P49366,P63241
P24347,P01009
P38435,P00740
O60507,P07359
Q8N165,P01375
O60725,P01112
P32780,P32780
P32780,Q01831
P32780,Q13888
P32780,P18074
P32780,P19447
P32780,Q01094
Q92824,P20382
P29122,P29122
Q8TAI7,Q13541
Q8TAI7,P31749
Q9H6P5,P52655
Q9H6P5,Q03164
P22894,P13500
Q16816,P11217
Q16816,P11216
Q16816,P46020
Q16816,Q16816
Q16816,P10636
Q9UNA0,P16112
P08637,P06239
P16519,P20382
P16519,P10997
P29120,P00797
P29120,P20382
P29120,P10997
P14384,P01133
Q9GZR1,P27540
Q9NRE1,P08833
Q9NRE1,P14780
Q9UHI8,P13611
P16870,P01308
P16870,P01350
P16870,P06307
Q01538,P24941
Q01538,P06493
Q92187,Q92187
Q92187,P13591
P02818,P23443
Q99590,P49768
Q9C0B5,Q9C0B5
Q9C0B5,Q14254
Q9UIJ5,P49023
Q9UIJ5,Q9GZM8
Q9UIJ5,Q9NXR1
Q9UIJ5,Q07065
Q9NR22,Q01844
Q9NR22,Q9NR22
Q9H7X0,Q9H7X0
Q8IY84,Q8IY84
P20794,P20794
Q8NE63,P04637
Q9Y6X8,P01106
Q9Y6X8,P36507
Q9Y6X8,Q02750
Q32MK0,P10916
Q32MK0,P24844
Q32MK0,P19105
Q32MK0,O14950
P80192,P80192
Q9UMX0,P49768
Q96LW7,O95999
Q8IZW8,P22681
O95782,P62993
P62979,Q00987
P0CG47,O60260
P0CG47,P0CG47
P49761,P61981
Q9NS37,P18848
O43281,O14974
Q9UGJ0,Q9NYV6
P40259,P43405
Q9H422,P10275
Q9H422,P18846
Q9H422,Q13158
Q9BY76,P06858
Q96QZ7,P60484
Q12929,P33151
Q58A45,P11940
Q9BPZ3,P11940
Q9UM13,Q9UJX3
Q9UM13,Q9UJX4
Q9UM13,Q9UJX5
Q9UM13,Q9UJX6
Q9UM13,Q9H1A4
Q9UM13,Q9UJX2
Q9UM13,Q13042
Q9UM13,Q9UM11
Q9UM13,P30260
Q9UNI6,P35557
Q8WVY7,P24928
P13686,P04792
P13686,P15289
Q9UII6,P02686
Q93096,P17544
Q9ULR3,P55060
Q8N3J5,P12694
Q9Y5S2,P35611
Q9Y5S2,P26038
Q9Y5S2,P24844
Q9Y5S2,O14974
Q96GD0,P23528
P05187,P13807
O75319,P02686
Q9NRX4,P62805
Q9NRX4,P53396
Q9NRX4,O15554
Q9NRX4,P62873
Q9BVJ7,P02686
Q9BVJ7,P27361
O95147,O43318
O95147,Q16539
O95147,P45984
O95147,P27361
P09923,P0C0S8
P09923,P16671
Q9H3S7,P35222
Q9H3S7,P12830
Q9H3S7,P12931
Q9H3S7,Q05397
Q68J44,Q16539
Q68J44,P28482
Q68J44,P27361
Q05D32,P24928
Q92738,P20339
Q92738,Q12929
P05186,Q92934
P05186,P0C0S8
Q9BZG2,Q15303
Q9H3M7,Q96P20
O15355,P67809
O15355,P10275
O15355,O43524
O15355,P16104
O15355,Q16637
O15355,Q99879
O15355,P0C0S8
O15355,Q9UHI6
O15355,P38432
P55040,P27707
P55040,P05412
Q9NR19,Q9NR19
P42685,P42685
P42685,P00533
P42685,P60484
P42685,P38398
O95425,P10275
Q8IXL6,Q9NRM1
